city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,48,MV,1530250417,100,-0.6,73.08,83.3,5.95
1,mataura,92,NZ,1530250417,100,-46.19,168.86,44.24,3.38
2,carnarvon,12,ZA,1530250417,79,-30.97,22.13,32.36,6.96
3,ribeira grande,56,PT,1530250417,100,38.52,-28.7,70.34,16.69
4,hasaki,20,JP,1530246600,62,35.73,140.83,89.6,19.46
5,bethel,90,US,1530247980,51,60.79,-161.76,62.6,4.72
6,nelson bay,8,AU,1530248400,54,-32.72,152.14,59.0,17.22
7,ushuaia,12,AR,1530250208,100,-54.81,-68.31,13.55,2.93
8,touros,36,BR,1530249837,84,-5.2,-35.46,75.56,13.56
9,ulverstone,88,AU,1530250418,90,-41.16,146.17,48.02,3.04
10,ponta do sol,0,BR,1530250418,68,-20.63,-46.0,58.01,6.85
11,hobyo,0,SO,1530250418,61,5.35,48.53,82.76,21.05
12,punta arenas,40,CL,1530248400,80,-53.16,-70.91,33.8,13.87
13,mareeba,40,AU,1530248400,65,-16.99,145.42,80.6,18.34
14,ilulissat,48,GL,1530247800,86,69.22,-51.1,37.4,6.93
15,camacha,40,PT,1530248400,88,33.08,-16.33,71.6,20.8
16,yulara,0,AU,1530248400,15,-25.24,130.99,68.0,8.05
17,mayo,75,CA,1530248400,93,63.59,-135.9,55.4,3.36
18,hilo,90,US,1530248160,94,19.71,-155.08,73.4,4.7
19,albany,20,US,1530248040,77,42.65,-73.75,69.8,5.82
20,luderitz,32,NA,1530249666,92,-26.65,15.16,46.94,8.97
21,castro,92,CL,1530250420,99,-42.48,-73.76,47.84,14.45
22,hamada,75,JP,1530248400,100,34.9,132.08,73.4,17.22
23,nikolskoye,40,RU,1530248400,56,59.7,30.79,68.0,8.95
24,dikson,76,RU,1530250420,100,73.51,80.55,35.51,8.97
25,saint george,20,GR,1530247800,72,39.45,22.34,68.0,6.93
26,roma,0,IT,1530248100,77,41.89,12.48,66.2,3.36
27,ust-tsilma,36,RU,1530250421,54,65.44,52.15,63.41,4.61
28,beringovskiy,32,RU,1530250421,100,63.05,179.32,46.76,3.71
29,bluff,0,AU,1530250421,54,-23.58,149.07,75.83,8.08
30,mar del plata,80,AR,1530250421,85,-46.43,-67.52,42.53,11.88
31,upernavik,0,GL,1530250421,81,72.79,-56.15,40.01,6.73
32,rikitea,0,PF,1530250421,97,-23.12,-134.97,77.45,19.04
33,kapaa,75,US,1530248820,78,22.08,-159.32,80.6,16.11
34,wewak,48,PG,1530250422,89,-3.55,143.63,80.42,3.04
35,lebu,68,ET,1530250422,94,8.96,38.73,54.59,3.94
36,chokurdakh,0,RU,1530250422,81,70.62,147.9,45.14,8.19
37,esperance,20,TT,1530248400,100,10.24,-61.45,77.0,8.05
38,stillwater,1,US,1530249300,69,36.12,-97.06,84.2,5.82
39,busselton,44,AU,1530250423,100,-33.64,115.35,59.0,4.5
40,altamont,1,CA,1530249300,57,49.4,-98.5,75.2,3.36
41,georgetown,20,GY,1530248400,100,6.8,-58.16,75.2,4.7
42,new norfolk,75,AU,1530248400,87,-42.78,147.06,50.0,8.05
43,havoysund,75,NO,1530249600,87,71.0,24.66,42.8,11.41
44,larvik,0,NO,1530249600,47,59.05,10.04,59.0,6.93
45,batagay,8,RU,1530250424,43,67.65,134.64,69.26,7.74
46,aden,0,YE,1530250424,94,12.79,45.03,83.84,10.65
47,russell,0,AR,1530248400,61,-33.01,-68.8,50.0,3.36
48,lakatoro,92,VU,1530250425,83,-16.11,167.42,78.26,13.89
49,san pedro carcha,32,GT,1530250425,100,15.48,-90.31,64.85,0.58
50,atar,0,MR,1530250425,34,20.52,-13.05,71.87,5.39
51,dalton,40,US,1530248640,100,34.77,-84.97,68.0,2.26
52,mmathubudukwane,0,BW,1530248400,67,-24.61,26.43,41.0,2.24
53,north bend,1,US,1530249300,82,43.41,-124.22,57.2,5.82
54,hermanus,92,ZA,1530250426,91,-34.42,19.24,45.86,5.17
55,east london,0,ZA,1530248400,66,-33.02,27.91,50.0,8.05
56,jamestown,0,AU,1530250426,55,-33.21,138.6,54.59,15.68
57,namibe,12,AO,1530250426,100,-15.19,12.15,67.73,4.94
58,tuktoyaktuk,90,CA,1530248400,76,69.44,-133.03,50.0,6.93
59,makakilo city,90,US,1530249060,83,21.35,-158.09,80.6,3.36
60,harwich,90,US,1530249300,100,41.69,-70.08,71.6,6.93
61,san andres,0,PH,1530250427,100,13.32,122.68,84.38,5.61
62,sala,0,SE,1530249600,54,59.92,16.61,57.2,16.11
63,mahebourg,20,MU,1530248400,56,-20.41,57.7,73.4,9.17
64,nguru,0,NG,1530250428,86,12.88,10.45,72.77,9.98
65,abu samrah,68,SY,1530250428,61,35.3,37.18,75.83,14.34
66,bonavista,92,CA,1530249864,75,48.65,-53.11,52.97,16.58
67,rybnaya sloboda,0,RU,1530248400,46,55.46,50.14,73.4,8.95
68,high level,90,CA,1530248400,87,58.52,-117.13,53.6,3.36
69,atuona,24,PF,1530250429,98,-9.8,-139.03,80.87,16.35
70,vaini,92,IN,1530250429,99,15.34,74.49,71.24,7.63
71,faanui,48,PF,1530250429,99,-16.48,-151.75,81.5,11.43
72,wageningen,0,NL,1530249900,82,51.98,5.66,60.8,4.7
73,tiksi,0,RU,1530250429,70,71.64,128.87,49.1,10.76
74,daru,92,SL,1530250429,99,7.99,-10.85,71.6,3.94
75,novikovo,0,UA,1530250429,79,45.05,34.56,77.72,4.72
76,iqaluit,75,CA,1530248400,96,63.75,-68.52,33.8,3.36
77,palana,0,RU,1530250430,52,59.08,159.95,60.89,7.52
78,port alfred,0,ZA,1530250430,100,-33.59,26.89,55.13,7.96
79,leningradskiy,48,RU,1530250430,94,69.38,178.42,33.89,4.61
80,barsovo,40,RU,1530248400,65,61.17,73.17,77.0,8.95
